1. pen, notebook, scale, papaya → Answer: papaya
90. scooter, airplane, car, yellow → Answer: yellow
91. chalk, orange, sharpener, eraser → Answer: orange
92. guava, truck, van, bike → Answer: guava
93. red, pink, ship, purple → Answer: ship
94. zebra, bike, car, van → Answer: zebra
95. white, bike, red, pink → Answer: bike
96. truck, oval, scooter, car → Answer: oval
97. goat, zebra, deer, orange → Answer: orange
98. bag, chalk, truck, eraser → Answer: truck
99. truck, black, scooter, van → Answer: black
100. truck, guava, train, car → Answer: guava
101. grape, cow, tiger, elephant → Answer: grape
102. bike, van, car, purple → Answer: purple
103. square, oval, bag, triangle → Answer: bag
104. bag, pencil, pen, pear → Answer: pear
105. chalk, scale, hexagon, pencil → Answer: hexagon
106. bus, pencil, sharpener, pen → Answer: bus
107. green, pink, yellow, pen → Answer: pen
108. white, cow, giraffe, zebra → Answer: white
109. pear, banana, ship, grape → Answer: ship
110. purple, car, bike, truck → Answer: purple
111. bag, notebook, ship, pencil → Answer: ship
112. lion, banana, elephant, bear → Answer: banana
113. circle, oval, rectangle, mango → Answer: mango
114. black, chalk, sharpener, pencil → Answer: black
115. triangle, circle, rectangle, truck → Answer: truck
116. red, white, blue, sharpener → Answer: sharpener
117. horse, tiger, deer, banana → Answer: banana
118. oval, green, black, blue → Answer: oval
119. guava, mango, grape, cat → Answer: cat
120. purple, pink, square, white → Answer: square
121. purple, white, mango, blue → Answer: mango
122. guava, cat, bear, zebra → Answer: guava
123. red, rectangle, triangle, star → Answer: red
124. goat, ship, monkey, giraffe → Answer: ship
125. purple, orange, pear, papaya → Answer: purple
126. square, papaya, apple, pear → Answer: square
127. scooter, bike, blue, car → Answer: blue
128. eraser, notebook, zebra, bag → Answer: zebra
129. black, white, scooter, blue → Answer: scooter
130. oval, green, blue, purple → Answer: oval
131. giraffe, tiger, sharpener, lion → Answer: sharpener
132. banana, papaya, lion, grape → Answer: lion
133. star, monkey, oval, hexagon → Answer: monkey
134. apple, mango, guava, oval → Answer: oval
135. zebra, orange, tiger, deer → Answer: orange
136. bag, mango, guava, grape → Answer: bag
137. oval, sharpener, pencil, pen → Answer: oval
138. circle, dog, bear, cow → Answer: circle
139. apple, papaya, orange, chalk → Answer: chalk
140. train, ship, scooter, pear → Answer: pear
141. zebra, yellow, deer, goat → Answer: yellow
142. cat, white, green, purple → Answer: cat
143. circle, triangle, square, purple → Answer: purple
144. truck, ship, oval, van → Answer: oval
145. bike, scooter, truck, star → Answer: star
146. circle, giraffe, hexagon, square → Answer: giraffe
147. red, chalk, blue, yellow → Answer: chalk
148. notebook, airplane, van, car → Answer: notebook
149. mango, guava, monkey, banana → Answer: monkey
150. banana, blue, pear, orange → Answer: blue
151. guava, hexagon, square, triangle → Answer: guava
152. cat, truck, car, bike → Answer: cat
153. deer, giraffe, book, dog → Answer: book
154. cat, elephant, giraffe, apple → Answer: apple
155. truck, ship, bus, pen → Answer: pen
156. car, bike, guava, van → Answer: guava
157. triangle, black, hexagon, square → Answer: black
158. square, hexagon, scale, circle → Answer: scale
159. cow, scooter, giraffe, cat → Answer: scooter
160. triangle, chalk, pencil, scale → Answer: triangle
161. pink, pen, scale, chalk → Answer: pink
162. lion, orange, grape, mango → Answer: lion
163. book, car, bag, scale → Answer: car
164. cow, giraffe, horse, square → Answer: square
165. bus, ship, pear, airplane → Answer: pear
166. sharpener, circle, scale, pencil → Answer: circle
167. scale, eraser, pen, bus → Answer: bus
168. red, giraffe, pink, white → Answer: giraffe
169. chalk, truck, airplane, bus → Answer: chalk
170. white, ship, bus, scooter → Answer: white
171. yellow, white, van, pink → Answer: van
172. white, star, rectangle, triangle → Answer: white
173. scooter, apple, pear, banana → Answer: scooter
174. rectangle, triangle, oval, scooter → Answer: scooter
175. zebra, circle, square, oval → Answer: zebra
176. blue, airplane, green, yellow → Answer: airplane
177. papaya, apple, orange, cow → Answer: cow
178. orange, guava, bus, papaya → Answer: bus
179. truck, lion, airplane, train → Answer: lion
180. cat, zebra, deer, purple → Answer: purple
181. papaya, mango, pencil, apple → Answer: pencil
182. cat, horse, lion, notebook → Answer: notebook
183. pear, guava, orange, circle → Answer: circle
184. pencil, notebook, sharpener, papaya → Answer: papaya
185. eraser, chalk, hexagon, pen → Answer: hexagon
186. rectangle, purple, green, blue → Answer: rectangle
187. yellow, purple, grape, pink → Answer: grape
188. deer, elephant, bear, bus → Answer: bus
189. guava, banana, chalk, mango → Answer: chalk
190. banana, papaya, green, orange → Answer: green
191. horse, deer, giraffe, pencil → Answer: pencil
192. guava, oval, grape, apple → Answer: oval
193. notebook, eraser, pencil, orange → Answer: orange
194. car, blue, green, red → Answer: car
195. green, apple, purple, pink → Answer: apple
196. pencil, blue, yellow, pink → Answer: pencil
197. circle, pencil, book, pen → Answer: circle
198. car, scale, book, chalk → Answer: car
199. purple, oval, hexagon, square → Answer: purple
200. airplane, bag, notebook, sharpener → Answer: airplane
201. papaya, pear, guava, cow → Answer: cow
202. bag, pen, eraser, mango → Answer: mango
203. pen, bag, pencil, white → Answer: white
204. scooter, bus, truck, monkey → Answer: monkey
205. hexagon, bus, triangle, circle → Answer: bus
206. white, red, scooter, black → Answer: scooter
207. yellow, monkey, dog, cow → Answer: yellow
208. sharpener, book, pencil, bus → Answer: bus
209. red, sharpener, white, yellow → Answer: sharpener
210. hexagon, oval, star, pink → Answer: pink
211. black, pink, purple, oval → Answer: oval
212. hexagon, white, pink, blue → Answer: hexagon
213. circle, rectangle, black, hexagon → Answer: black
214. black, circle, star, triangle → Answer: black
215. lion, elephant, scale, horse → Answer: scale
216. pear, grape, papaya, pencil → Answer: pencil
217. green, oval, pink, black → Answer: oval
218. purple, pear, white, yellow → Answer: pear
219. giraffe, elephant, bear, car → Answer: car
220. green, apple, pink, red → Answer: apple
221. dog, pear, zebra, elephant → Answer: pear
222. oval, square, white, hexagon → Answer: white
223. pen, bag, chalk, guava → Answer: guava
224. truck, bike, scooter, star → Answer: star
225. dog, cow, papaya, zebra → Answer: papaya
226. truck, airplane, bus, bag → Answer: bag
227. bike, truck, airplane, black → Answer: black
228. tiger, cow, giraffe, oval → Answer: oval
229. ship, yellow, truck, van → Answer: yellow
230. white, elephant, dog, lion → Answer: white
231. dog, chalk, elephant, tiger → Answer: chalk
232. bag, truck, car, bike → Answer: bag
233. airplane, green, ship, scooter → Answer: green
234. pink, yellow, triangle, black → Answer: triangle
235. apple, book, orange, pear → Answer: book
236. scale, car, chalk, pencil → Answer: car
237. star, papaya, oval, hexagon → Answer: papaya
238. yellow, purple, green, circle → Answer: circle
239. white, red, giraffe, purple → Answer: giraffe
240. bag, apple, pen, eraser → Answer: apple
241. bag, scale, rectangle, book → Answer: rectangle
242. lion, banana, bear, cat → Answer: banana
243. pencil, book, white, notebook → Answer: white
244. red, yellow, pink, scale → Answer: scale
245. blue, book, chalk, scale → Answer: blue
246. bike, scooter, truck, white → Answer: white
247. cow, chalk, giraffe, monkey → Answer: chalk
248. orange, truck, mango, grape → Answer: truck
249. dog, notebook, sharpener, eraser → Answer: dog
250. goat, horse, papaya, monkey → Answer: papaya
251. hexagon, bear, triangle, circle → Answer: bear
252. bike, scooter, square, ship → Answer: square
253. guava, monkey, papaya, apple → Answer: monkey
254. apple, rectangle, oval, square → Answer: apple
255. airplane, oval, car, bike → Answer: oval
256. scale, pen, truck, pencil → Answer: truck
257. goat, lion, cat, rectangle → Answer: rectangle
258. blue, ship, black, pink → Answer: ship
259. square, circle, oval, notebook → Answer: notebook
260. pink, green, oval, blue → Answer: oval
261. ship, car, oval, airplane → Answer: oval
262. mango, rectangle, guava, papaya → Answer: rectangle
263. sharpener, zebra, giraffe, deer → Answer: sharpener
264. orange, black, yellow, red → Answer: orange
265. blue, purple, tiger, red → Answer: tiger
266. circle, oval, purple, hexagon → Answer: purple
267. square, chalk, scale, notebook → Answer: square
268. rectangle, square, pink, oval → Answer: pink
269. hexagon, yellow, oval, square → Answer: yellow
270. circle, rectangle, blue, triangle → Answer: blue
271. oval, circle, bike, square → Answer: bike
272. notebook, pencil, chalk, blue → Answer: blue
273. van, truck, ship, pear → Answer: pear
274. car, train, bus, blue → Answer: blue
275. red, black, bag, blue → Answer: bag
276. banana, grape, papaya, pen → Answer: pen
277. horse, goat, lion, guava → Answer: guava
278. orange, elephant, papaya, guava → Answer: elephant
279. grape, guava, yellow, orange → Answer: yellow
280. white, oval, rectangle, star → Answer: white
281. horse, elephant, zebra, scale → Answer: scale
282. banana, square, hexagon, oval → Answer: banana
283. cow, sharpener, chalk, eraser → Answer: cow
284. papaya, pear, orange, triangle → Answer: triangle
285. scale, pink, yellow, white → Answer: scale
286. circle, bus, van, train → Answer: circle
287. red, scooter, white, green → Answer: scooter
288. star, hexagon, yellow, oval → Answer: yellow
289. notebook, pencil, scale, white → Answer: white
290. orange, mango, scale, guava → Answer: scale
291. van, airplane, chalk, car → Answer: chalk
292. bag, apple, papaya, orange → Answer: bag
293. white, pen, bag, pencil → Answer: white
294. orange, banana, mango, purple → Answer: purple
295. chalk, green, sharpener, eraser → Answer: green
296. green, cow, cat, goat → Answer: green
297. rectangle, square, oval, papaya → Answer: papaya
298. truck, scooter, elephant, bus → Answer: elephant
299. triangle, rectangle, tiger, hexagon → Answer: tiger
300. pencil, chalk, black, eraser → Answer: black
301. cow, banana, guava, grape → Answer: cow
302. airplane, orange, truck, bus → Answer: orange
303. van, rectangle, car, airplane → Answer: rectangle
304. purple, bike, red, pink → Answer: bike
305. mango, book, grape, papaya → Answer: book
306. papaya, black, green, yellow → Answer: papaya
307. oval, eraser, square, triangle → Answer: eraser
308. oval, circle, purple, triangle → Answer: purple
309. cat, monkey, giraffe, pink → Answer: pink
310. green, red, deer, pink → Answer: deer
311. elephant, chalk, cow, goat → Answer: chalk
312. airplane, train, car, oval → Answer: oval
313. book, pen, papaya, eraser → Answer: papaya
314. cow, monkey, giraffe, blue → Answer: blue
315. triangle, oval, grape, circle → Answer: grape
316. green, yellow, notebook, red → Answer: notebook
317. yellow, green, pink, elephant → Answer: elephant
318. banana, white, orange, grape → Answer: white
319. notebook, bag, book, mango → Answer: mango
320. oval, square, hexagon, cat → Answer: cat
321. pink, rectangle, yellow, red → Answer: rectangle
322. black, yellow, airplane, white → Answer: airplane
323. bear, horse, banana, elephant → Answer: banana
324. hexagon, oval, dog, rectangle → Answer: dog
325. banana, guava, papaya, bike → Answer: bike
326. scooter, bike, ship, lion → Answer: lion
327. chalk, oval, book, scale → Answer: oval
328. guava, tiger, banana, grape → Answer: tiger
329. triangle, sharpener, bag, scale → Answer: triangle
330. banana, pen, grape, orange → Answer: pen
331. oval, star, square, scale → Answer: scale
332. bag, chalk, book, grape → Answer: grape
333. oval, truck, star, hexagon → Answer: truck
334. square, pear, hexagon, rectangle → Answer: pear
335. green, black, tiger, pink → Answer: tiger
336. notebook, eraser, oval, book → Answer: oval
337. lion, train, truck, ship → Answer: lion
338. white, hexagon, rectangle, triangle → Answer: white
339. star, yellow, black, purple → Answer: star
340. hexagon, giraffe, rectangle, circle → Answer: giraffe
341. book, bike, scale, pencil → Answer: bike
342. blue, orange, white, red → Answer: orange
343. eraser, notebook, chalk, banana → Answer: banana
344. square, train, scooter, ship → Answer: square
345. guava, grape, green, banana → Answer: green
346. monkey, grape, lion, cow → Answer: grape
347. horse, guava, grape, pear → Answer: horse
348. grape, goat, guava, orange → Answer: goat
349. oval, chalk, pencil, pen → Answer: oval
350. oval, rectangle, scooter, star → Answer: scooter
351. elephant, notebook, scale, pen → Answer: elephant
352. bag, rectangle, pen, pencil → Answer: rectangle
353. bag, sharpener, chalk, van → Answer: van
354. red, hexagon, blue, green → Answer: hexagon
355. hexagon, dog, circle, oval → Answer: dog
356. star, mango, hexagon, circle → Answer: mango
357. cat, guava, monkey, dog → Answer: guava
358. lion, pencil, cat, tiger → Answer: pencil
359. goat, scooter, cow, deer → Answer: scooter
360. bear, giraffe, mango, lion → Answer: mango
361. scale, yellow, white, purple → Answer: scale
362. guava, white, green, pink → Answer: guava
363. eraser, star, square, circle → Answer: eraser
364. rectangle, mango, grape, banana → Answer: rectangle
365. scale, pink, pen, eraser → Answer: pink
366. truck, ship, papaya, train → Answer: papaya
367. star, circle, dog, triangle → Answer: dog
368. train, lion, car, truck → Answer: lion
369. circle, hexagon, dog, square → Answer: dog
370. blue, purple, white, circle → Answer: circle
371. blue, elephant, giraffe, goat → Answer: blue
372. pencil, book, eraser, oval → Answer: oval
373. star, van, rectangle, oval → Answer: van
374. square, elephant, rectangle, circle → Answer: elephant
375. bike, blue, van, ship → Answer: blue
376. star, hexagon, green, triangle → Answer: green
377. green, van, bus, airplane → Answer: green
378. truck, pencil, book, chalk → Answer: truck
379. car, train, bus, horse → Answer: horse
380. truck, car, notebook, ship → Answer: notebook
381. train, truck, hexagon, scooter → Answer: hexagon
382. star, hexagon, triangle, yellow → Answer: yellow
383. red, airplane, train, bus → Answer: red
384. ship, scooter, airplane, mango → Answer: mango
385. grape, rectangle, banana, papaya → Answer: rectangle
386. scale, truck, eraser, chalk → Answer: truck
387. guava, mango, apple, chalk → Answer: chalk
388. truck, circle, ship, bus → Answer: circle
389. car, banana, mango, grape → Answer: car
390. guava, pen, eraser, notebook → Answer: guava
391. goat, white, deer, cow → Answer: white
392. train, scooter, truck, dog → Answer: dog
393. yellow, pink, ship, purple → Answer: ship
394. blue, black, train, purple → Answer: train
395. circle, star, square, tiger → Answer: tiger
396. sharpener, black, eraser, book → Answer: black
397. monkey, pencil, sharpener, book → Answer: monkey
398. car, zebra, horse, deer → Answer: car
399. red, hexagon, purple, yellow → Answer: hexagon
400. eraser, chalk, notebook, cat → Answer: cat
401. rectangle, lion, star, square → Answer: lion
402. elephant, horse, tiger, pen → Answer: pen
403. orange, guava, papaya, square → Answer: square
404. truck, train, star, scooter → Answer: star
405. rectangle, sharpener, eraser, bag → Answer: rectangle
406. horse, zebra, cat, car → Answer: car
407. bag, pencil, square, eraser → Answer: square
408. train, ship, book, car → Answer: book
409. rectangle, circle, hexagon, car → Answer: car
410. cat, goat, zebra, chalk → Answer: chalk
411. notebook, purple, chalk, scale → Answer: purple
412. monkey, cat, orange, bear → Answer: orange
413. lion, yellow, dog, horse → Answer: yellow
414. red, sharpener, yellow, white → Answer: sharpener
415. pen, banana, grape, guava → Answer: pen
416. banana, pear, mango, deer → Answer: deer
417. orange, banana, chalk, grape → Answer: chalk
418. airplane, bike, car, chalk → Answer: chalk
419. blue, pencil, black, green → Answer: pencil
420. mango, yellow, grape, banana → Answer: yellow
421. red, pink, airplane, green → Answer: airplane
422. bus, bike, van, rectangle → Answer: rectangle
423. red, train, blue, black → Answer: train
424. green, yellow, pink, oval → Answer: oval
425. white, book, blue, red → Answer: book
426. blue, black, book, yellow → Answer: book
427. black, pink, eraser, purple → Answer: eraser
428. hexagon, square, train, oval → Answer: train
429. grape, orange, blue, mango → Answer: blue
430. sharpener, book, eraser, ship → Answer: ship
431. green, apple, banana, orange → Answer: green
432. pen, car, truck, ship → Answer: pen
433. blue, white, pink, scooter → Answer: scooter
434. monkey, dog, cow, bag → Answer: bag
435. sharpener, horse, bag, scale → Answer: horse
436. bear, elephant, green, dog → Answer: green
437. green, red, apple, white → Answer: apple
438. pear, pink, white, blue → Answer: pear
439. mango, papaya, cat, grape → Answer: cat
440. pear, rectangle, triangle, star → Answer: pear
441. white, orange, red, yellow → Answer: orange
442. red, oval, green, black → Answer: oval
443. papaya, red, blue, pink → Answer: papaya
444. hexagon, bear, goat, dog → Answer: hexagon
445. cow, truck, monkey, cat → Answer: truck
446. pen, bag, cat, notebook → Answer: cat
447. pen, cow, book, pencil → Answer: cow
448. pear, apple, pen, papaya → Answer: pen
449. lion, hexagon, rectangle, triangle → Answer: lion
450. oval, circle, triangle, truck → Answer: truck
451. star, square, apple, oval → Answer: apple
452. circle, cat, oval, triangle → Answer: cat
453. blue, lion, horse, giraffe → Answer: blue
454. pencil, yellow, notebook, eraser → Answer: yellow
455. bag, scale, white, notebook → Answer: white
456. papaya, orange, book, guava → Answer: book
457. pink, chalk, book, eraser → Answer: pink
458. circle, triangle, hexagon, car → Answer: car
459. pen, notebook, green, sharpener → Answer: green
460. bag, deer, sharpener, notebook → Answer: deer
461. cat, giraffe, airplane, lion → Answer: airplane
462. grape, dog, papaya, orange → Answer: dog
463. van, bike, zebra, airplane → Answer: zebra
464. airplane, ship, truck, tiger → Answer: tiger
465. oval, rectangle, triangle, cat → Answer: cat
466. car, bike, train, blue → Answer: blue
467. rectangle, hexagon, elephant, triangle → Answer: elephant
468. oval, triangle, ship, hexagon → Answer: ship
469. lion, square, dog, monkey → Answer: square
470. hexagon, rectangle, notebook, star → Answer: notebook
471. triangle, hexagon, blue, rectangle → Answer: blue
472. guava, oval, rectangle, hexagon → Answer: guava
473. pink, white, chalk, yellow → Answer: chalk
474. hexagon, cow, zebra, tiger → Answer: hexagon
475. oval, bag, star, rectangle → Answer: bag
476. eraser, zebra, book, pencil → Answer: zebra
477. eraser, airplane, ship, bike → Answer: eraser
478. pear, orange, guava, giraffe → Answer: giraffe
479. rectangle, ship, scooter, car → Answer: rectangle
480. sharpener, mango, orange, guava → Answer: sharpener
481. cat, papaya, apple, guava → Answer: cat
482. pink, pencil, notebook, book → Answer: pink
483. guava, grape, papaya, pencil → Answer: pencil
484. train, van, orange, car → Answer: orange
485. pear, apple, bus, banana → Answer: bus
486. cow, red, pink, blue → Answer: cow
487. pen, sharpener, dog, bag → Answer: dog
488. train, van, truck, mango → Answer: mango
489. yellow, bag, scale, pen → Answer: yellow
490. bag, monkey, giraffe, cat → Answer: bag
491. circle, train, star, hexagon → Answer: train
492. bear, ship, horse, goat → Answer: ship
493. bus, airplane, scale, ship → Answer: scale
494. red, bear, pink, yellow → Answer: bear
495. apple, guava, grape, goat → Answer: goat
496. banana, guava, grape, cat → Answer: cat
497. giraffe, tiger, bear, mango → Answer: mango
498. notebook, scale, chalk, elephant → Answer: elephant
499. tiger, cow, dog, banana → Answer: banana
500. sharpener, yellow, red, green → Answer: sharpener
501. eraser, giraffe, cat, lion → Answer: eraser
502. orange, rectangle, banana, apple → Answer: rectangle
503. circle, triangle, hexagon, van → Answer: van
504. horse, ship, bus, scooter → Answer: horse
505. ship, yellow, red, black → Answer: ship
506. pink, blue, red, airplane → Answer: airplane
507. blue, pink, black, grape → Answer: grape
508. pencil, notebook, bus, book → Answer: bus
509. car, black, white, green → Answer: car
510. notebook, airplane, pen, eraser → Answer: airplane
511. purple, black, apple, green → Answer: apple
512. grape, horse, bear, cow → Answer: grape
513. rectangle, circle, ship, star → Answer: ship
514. scooter, car, airplane, guava → Answer: guava
515. ship, van, banana, car → Answer: banana
516. airplane, hexagon, bus, bike → Answer: hexagon
517. guava, red, banana, papaya → Answer: red
518. elephant, bear, rectangle, monkey → Answer: rectangle
519. star, pencil, book, notebook → Answer: star
520. square, rectangle, eraser, oval → Answer: eraser
521. rectangle, square, star, white → Answer: white
522. banana, grape, apple, sharpener → Answer: sharpener
523. car, bike, airplane, pen → Answer: pen
524. grape, chalk, scale, pencil → Answer: grape
525. grape, horse, tiger, monkey → Answer: grape
526. circle, rectangle, papaya, triangle → Answer: papaya
527. scale, bag, book, white → Answer: white
528. airplane, bus, apple, bike → Answer: apple
529. horse, dog, pear, tiger → Answer: pear
530. yellow, banana, black, blue → Answer: banana
531. book, monkey, horse, giraffe → Answer: book
532. truck, van, apple, airplane → Answer: apple
533. triangle, car, scooter, bike → Answer: triangle
534. truck, bear, ship, airplane → Answer: bear
535. bag, book, triangle, pen → Answer: triangle
536. black, green, van, pink → Answer: van
537. grape, bear, papaya, guava → Answer: bear
538. bag, airplane, train, scooter → Answer: bag
539. dog, red, cat, cow → Answer: red
540. lion, cow, tiger, square → Answer: square
541. star, circle, rectangle, sharpener → Answer: sharpener
542. chalk, van, bag, notebook → Answer: van
543. lion, cow, tiger, orange → Answer: orange
544. truck, car, apple, bike → Answer: apple
545. star, red, hexagon, triangle → Answer: red
546. triangle, star, eraser, oval → Answer: eraser
547. purple, orange, green, black → Answer: orange
548. bike, pencil, scale, chalk → Answer: bike
549. grape, scooter, papaya, apple → Answer: scooter
550. papaya, scooter, guava, pear → Answer: scooter
551. guava, papaya, zebra, mango → Answer: zebra
552. banana, mango, apple, hexagon → Answer: hexagon
553. van, banana, train, scooter → Answer: banana
554. goat, zebra, banana, deer → Answer: banana
555. rectangle, square, monkey, star → Answer: monkey
556. pear, airplane, ship, train → Answer: pear
557. red, orange, green, white → Answer: orange
558. star, oval, cow, rectangle → Answer: cow
559. mango, apple, green, orange → Answer: green
560. tiger, triangle, zebra, deer → Answer: triangle
561. square, star, car, oval → Answer: car
562. mango, apple, orange, eraser → Answer: eraser
563. pencil, sharpener, square, bag → Answer: square
564. pencil, hexagon, sharpener, scale → Answer: hexagon
565. bike, purple, yellow, blue → Answer: bike
566. oval, yellow, green, purple → Answer: oval
567. horse, rectangle, tiger, giraffe → Answer: rectangle
568. grape, oval, mango, orange → Answer: oval
569. oval, star, rectangle, horse → Answer: horse
570. airplane, bike, van, star → Answer: star
571. scale, rectangle, star, oval → Answer: scale
572. goat, elephant, bear, square → Answer: square
573. van, triangle, star, circle → Answer: van
574. mango, sharpener, book, bag → Answer: mango
575. triangle, square, bear, circle → Answer: bear
576. van, car, sharpener, bus → Answer: sharpener
577. goat, pen, lion, tiger → Answer: pen
578. goat, circle, dog, zebra → Answer: circle
579. guava, orange, pear, truck → Answer: truck
580. lion, truck, airplane, van → Answer: lion
581. car, train, purple, ship → Answer: purple
582. apple, guava, grape, dog → Answer: dog
583. green, dog, cow, zebra → Answer: green
584. circle, triangle, chalk, hexagon → Answer: chalk
585. chalk, notebook, pen, banana → Answer: banana
586. rectangle, bus, car, airplane → Answer: rectangle
587. grape, pear, cat, apple → Answer: cat
588. deer, dog, cow, banana → Answer: banana
589. banana, red, orange, papaya → Answer: red
590. pen, papaya, mango, guava → Answer: pen
591. triangle, bag, hexagon, rectangle → Answer: bag
592. square, triangle, mango, oval → Answer: mango
593. pear, orange, scooter, banana → Answer: scooter
594. circle, bag, chalk, sharpener → Answer: circle
595. hexagon, guava, star, circle → Answer: guava
596. goat, giraffe, horse, purple → Answer: purple
597. oval, star, circle, chalk → Answer: chalk
598. deer, circle, triangle, star → Answer: deer
599. elephant, deer, pen, monkey → Answer: pen
600. truck, apple, pear, orange → Answer: truck
601. chalk, book, sharpener, guava → Answer: guava
602. hexagon, square, bus, triangle → Answer: bus
603. pink, car, white, red → Answer: car
604. cat, notebook, pencil, bag → Answer: cat
605. red, sharpener, eraser, chalk → Answer: red
606. pear, bear, grape, apple → Answer: bear
607. mango, guava, monkey, papaya → Answer: monkey
608. purple, rectangle, star, hexagon → Answer: purple
609. eraser, book, pen, triangle → Answer: triangle
610. elephant, apple, dog, bear → Answer: apple
611. bear, bike, van, bus → Answer: bear
612. sharpener, pen, eraser, tiger → Answer: tiger
613. scooter, bike, airplane, star → Answer: star
614. monkey, yellow, black, red → Answer: monkey
615. purple, truck, airplane, ship → Answer: purple
616. van, scooter, car, monkey → Answer: monkey
617. goat, horse, cat, banana → Answer: banana
618. banana, papaya, blue, apple → Answer: blue
619. oval, banana, apple, orange → Answer: oval
620. giraffe, scooter, zebra, tiger → Answer: scooter
621. van, apple, pear, papaya → Answer: van
622. grape, cat, lion, goat → Answer: grape
623. chalk, scooter, airplane, train → Answer: chalk
624. hexagon, star, bear, circle → Answer: bear
625. monkey, black, cow, goat → Answer: black
626. ship, zebra, dog, deer → Answer: ship
627. van, ship, car, bear → Answer: bear
628. white, black, oval, purple → Answer: oval
629. truck, car, ship, deer → Answer: deer
630. bag, scale, sharpener, banana → Answer: banana
631. pen, square, bag, scale → Answer: square
632. bag, oval, hexagon, circle → Answer: bag
633. van, pink, green, white → Answer: van
634. hexagon, apple, square, circle → Answer: apple
635. cow, black, purple, white → Answer: cow
636. pen, bus, book, pencil → Answer: bus
